text,label
Government passes new healthcare reform bill,1
Scientists discover water on Mars,1
Local man claims he can time travel using a microwave,0
NASA confirms new planet similar to Earth,1
Celebrity says drinking bleach cures diseases,0
New technology helps farmers increase crop yield,1
Aliens spotted walking in New York streets,0
Researchers develop vaccine for rare virus,1
Man becomes invisible after eating special fruit,0
Study shows exercise improves mental health,1
Fake doctor sells magical weight loss pills,0
Government launches nationwide education program,1
Secret society controlling world discovered on TikTok,0
Scientists create biodegradable plastic alternative,1
Woman claims her cat can predict earthquakes,0
New renewable energy plant opens in India,1
Drinking salt water cures all illnesses,0
Researchers discover new species in Amazon rainforest,1
Man builds flying car in his garage with cardboard,0
New AI system helps detect diseases early,1
humans claim 5G technology was linked to spread of covid-19,0